timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732725059119,3393,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-14,text,true,,6011,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,3393,0,0
1732725058190,4320,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-14,,true,,7010,1277,30,30,null,4320,2,0
1732725058904,3619,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-26,text,true,,6002,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,3619,0,0
1732725057947,4576,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-26,,true,,7001,1277,30,30,null,4576,0,0
1732725058629,3898,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-27,text,true,,6197,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,3898,0,0
1732725057936,4591,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-27,,true,,7196,1277,30,30,null,4590,0,0
1732725058875,3681,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-10,text,true,,5185,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,3681,0,0
1732725057942,4613,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,6184,1277,30,30,null,4613,1,0
1732725059221,3343,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-28,text,true,,5535,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,3343,0,0
1732725058190,4373,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-28,,true,,6534,1277,30,30,null,4373,2,0
1732725058415,4221,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-25,text,true,,5631,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,4221,0,0
1732725057912,4723,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-25,,true,,6630,1277,30,30,null,4723,2,0
1732725059450,3339,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-29,text,true,,5591,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,3339,0,0
1732725058288,4500,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-29,,true,,6590,1277,30,30,null,4500,2,0
1732725062352,449,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-24,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,449,0,0
1732725059120,3688,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-20,text,true,,6035,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,3688,0,0
1732725058190,4617,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-20,,true,,7034,1277,30,30,null,4617,1,0
1732725062365,563,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-22,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,563,0,0
1732725062386,558,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-18,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,558,0,0
1732725059579,3490,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-8,text,true,,6126,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,3490,0,0
1732725062505,564,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-30,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,564,0,0
1732725058552,4516,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-8,,true,,7125,1277,30,30,null,4516,2,0
1732725062513,839,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-14,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,838,0,0
1732725062524,1009,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-26,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,1009,0,0
1732725062557,999,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-10,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,999,0,0
1732725062527,1253,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-27,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,1253,0,0
1732725062565,1215,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-28,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,1215,0,0
1732725062637,1263,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-25,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,1263,0,0
